試合回数,黒プレイヤー,白プレイヤー,黒が勝った回数,白が勝った回数,引き分けの回数,黒の勝率,白の勝率,引き分け率,,
1000,model/SGD/20sbloser_10000brwr_1000e_5n.npz,ランダム,156,822,22,15.6,82.2,2.2,,
1000,model/SGD/20sbloser_10000brwr_1000e_3n.npz,ランダム,187,778,35,18.7,77.8,3.5,,
1000,model/SGD/loser_30sb_10000brwr_1000e_5n.npz,ランダム,181,782,37,18.1,78.2,3.7,,
1000,model/SGD/loser_30000brwr_1000e_5n.npz,ランダム,234,719,47,23.4,71.9,4.7,,
1000,model/SGD/loser_10000brwr_1000e_5n.npz,ランダム,277,683,40,27.7,68.3,4,,
1000,model/SGD/30sb_10000brwr_1000e_5n.npz,ランダム,740,218,42,74,21.8,4.2,,
1000,model/SGD/30sb_30000brwr_1000e_5n_84u.npz,ランダム,698,251,51,69.8,25.1,5.1,,
1000,model/SGD/30sb_30000brwr_1000e_8n.npz,ランダム,680,287,33,68,28.7,3.3,,
1000,model/SGD/30sb_30000brwr_1000e_5n.npz,ランダム,778,192,30,77.8,19.2,3,,
1000,model/SGD/45627brwr_1000e_5n.npz,ランダム,708,253,39,70.8,25.3,3.9,,
1000,model/SGD/30sb_80000brwr_1000e_5n.npz,ランダム,859,118,23,85.9,11.8,2.3,,
1000,model/SGD/20sb_10000brwr_1000e_3n.npz,ランダム,659,298,43,65.9,29.8,4.3,,
1000,model/SGD/30sb_50000brwr_1000e_5n.npz,ランダム,794,169,37,79.4,16.9,3.7,,
1000,model/SGD/20sb_10000brwr_1000e_5n.npz,ランダム,723,240,37,72.3,24,3.7,,
1000,model/SGD/20sb_20000brwr_1000e_5n.npz,ランダム,721,245,34,72.1,24.5,3.4,,
1000,model/SGD/10000brwr_1000e_3n.npz,ランダム,544,410,46,54.4,41,4.6,,
1000,model/SGD/10sb_10000brwr_1000e_5n.npz,ランダム,676,286,38,67.6,28.6,3.8,,
1000,model/SGD/10sb_20000brwr_1000e_5n.npz,ランダム,662,295,43,66.2,29.5,4.3,,
1000,model/SGD/10000brwr_1000e_5n.npz,ランダム,662,296,42,66.2,29.6,4.2,,
1000,model/SGD/30sb_20000brwr_1000e_5n.npz,ランダム,761,203,36,76.1,20.3,3.6,,
1000,model/SGD/loser_30000brwr_1000e_3n.npz,ランダム,165,811,24,16.5,81.1,2.4,,
1000,model/SGD/loser_10sb_30000brwr_1000e_3n.npz,ランダム,115,862,23,11.5,86.2,2.3,,
1000,model/SGD/loser_10sb_10000brwr_1000e_5n.npz,ランダム,189,777,34,18.9,77.7,3.4,,
1000,model/SGD/loser_10sb_30000brwr_1000e_5n.npz,ランダム,158,813,29,15.8,81.3,2.9,,
1000,model/SGD/loser_20sb_30000brwr_1000e_5n.npz,ランダム,107,871,22,10.7,87.1,2.2,,
1000,model/SGD/20sb_20000brwr_1000e_3n.npz,ランダム,792,179,29,79.2,17.9,2.9,,
1000,model/SGD/loser_30sb_30000brwr_1000e_5n.npz,ランダム,135,838,27,13.5,83.8,2.7,,
1000,model/SGD/20sb_30000brwr_1000e_3n.npz,ランダム,724,250,26,72.4,25,2.6,,
1000,model/SGD/20sb_30000brwr_1000e_5n.npz,ランダム,724,234,42,72.4,23.4,4.2,,
1000,model/SGD/10sb_20000brwr_1000e_3n.npz,ランダム,719,251,30,71.9,25.1,3,,
1000,model/SGD/30sb_20000brwr_1000e_3n.npz,ランダム,781,177,42,78.1,17.7,4.2,,
,,,,,,,,,,
1000,model/SGD/30sb_30000brwr_1000e_3n.npz,ランダム,786,181,33,78.6,18.1,3.3,,
1000,model/SGD/30sb_80000brwr_1000e_3n.npz,ランダム,760,203,37,76,20.3,3.7,,
1000,model/SGD/loser_10sb_10000brwr_1000e_3n.npz,ランダム,158,800,42,15.8,80,4.2,,
1000,model/SGD/loser_10000brwr_1000e_3n.npz,ランダム,246,713,41,24.6,71.3,4.1,,
1000,model/SGD/10sb_10000brwr_1000e_3n.npz,ランダム,686,271,43,68.6,27.1,4.3,,
1000,model/SGD/loser_20sb_30000brwr_1000e_3n.npz,ランダム,122,855,23,12.2,85.5,2.3,,
1000,model/SGD/loser_30sb_10000brwr_1000e_3n.npz,ランダム,115,857,28,11.5,85.7,2.8,,
1000,model/SGD/30sb_10000brwr_1000e_3n.npz,ランダム,751,212,37,75.1,21.2,3.7,,
1000,model/SGD/loser_30sb_30000brwr_1000e_3n.npz,ランダム,92,882,26,9.2,88.2,2.6,,
1000,model/SGD/20000brwr_1000e_3n.npz,ランダム,698,263,39,69.8,26.3,3.9,,
1000,model/SGD/30sb_50000brwr_1000e_3n.npz,ランダム,733,242,25,73.3,24.2,2.5,,
1000,model/SGD/20000brwr_1000e_5n.npz,ランダム,637,319,44,63.7,31.9,4.4,,
1000,model/SGD/10sb_30000brwr_1000e_3n.npz,ランダム,633,328,39,63.3,32.8,3.9,,
1000,model/SGD/10sb_30000brwr_1000e_5n.npz,ランダム,682,279,39,68.2,27.9,3.9,,
1000,model/SGD/50000brwr_1000e_5n.npz,ランダム,605,350,45,60.5,35,4.5,,
1000,model/SGD/10sb_50000brwr_1000e_3n.npz,ランダム,624,334,42,62.4,33.4,4.2,,
1000,model/SGD/30000brwr_1000e_5n.npz,ランダム,755,208,37,75.5,20.8,3.7,,
1000,model/SGD/10sb_50000brwr_1000e_5n.npz,ランダム,617,346,37,61.7,34.6,3.7,,
1000,model/SGD/20sb_50000brwr_1000e_5n.npz,ランダム,679,274,47,67.9,27.4,4.7,,
1000,model/SGD/10sb_80000brwr_1000e_5n.npz,ランダム,671,298,31,67.1,29.8,3.1,,
1000,model/SGD/20sb_80000brwr_1000e_5n.npz,ランダム,748,214,38,74.8,21.4,3.8,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
